arm_09697_00831674848	Para la caída del cabello, tengo un nuevo jabón
arm_01523_01987826609	¿Qué color favorito es el más popular?
arm_04310_00403055305	El pijama de rayas es azul
arm_08784_00917516295	Las máquinas de escribir antiguas pueden ser muy caras.
arm_04310_00889460756	Al circular menos automóviles en la ciudad se logra una mejor calidad del aire
arm_00610_01139683822	¿A qué hora querés ir al cine?
arm_08421_00267033759	Estoy destinada a triunfar
arm_02484_00643843323	Tengo una junta de negocios con la firma de abogados, ¿se acuerda?
arm_08784_01796089064	Para abrir los poros de la piel lo mejor es ir a un sauna, o tomar un baño de vapor
arm_03397_00908571298	Para hacer esa receta necesitás fruta y alcohol
arm_07508_01501418353	Quiero que me ayudes a elegir un regalo.
arm_08421_01607544910	La yoga además de relajarte y de equilibrar tu organismo también te permitirá tonificar los brazos y las piernas
arm_08784_02024472792	La obscuridad del pozo era obscena por naturaleza
arm_09334_01336332492	Aquí doblamos a la derecha
arm_01523_00743864090	Las tejas rojas del tejado no son de México, son de Texas
arm_08784_00976649476	Estaba pensando en ir a acampar.
arm_09697_00902499724	Lo podés pagar con la tarjeta verde de Visa
arm_02484_01428475484	¿Cuáles son las principales diferencias?
arm_07049_01585081217	¿Cuál es la estación de metro más cercana?
arm_08421_02017682340	Si el cuerpo pide descanso hay que dárselo dicen los médicos
arm_03397_01255542527	Mañana vaya abrigada, un gorro de lana y guantes es lo más recomendable
arm_05223_01086656404	El viaje en avión es más rápido que en barco.
arm_05223_01060370073	¿Quién subió el mejor video?
arm_09697_00261319027	La pronunciación del francés es difícil
arm_08784_00961606918	Me ayudas a plantar los naranjos
arm_06136_00608530830	El Llano en Llamas es un clásico de Juan Rulfo
arm_03397_01374111004	Quiero averiguar como se llama un director de cine
arm_08784_00379700365	¿Cuándo sucedió la Primera Guerra Mundial?
arm_08421_02134631072	Por ahí se dice que este personaje malverso una cantidad extraordinaria de fondos públicos
arm_07508_00715629906	En las noticias de anoche, no vi que el presidente de Estados Unidos estuviera en problemas con el senado.
arm_02484_02134047694	Las bocinas estas que te dije son enormes, ¿sabés que se puede hacer con ellas?
arm_06136_01111664837	Es muy fácil usar las bicis de la ciudad, con tu tarjeta de crédito alquilas tu bici.
arm_03397_00147817153	Mañana va a hacer mucho viento y habrá tormentas
arm_08784_00648369718	El dictador Franco estuvo cuarenta años en el poder.
arm_09334_01109753057	¿Quién subió el mejor video?
arm_08421_01864879945	Te voy a mandar por whatsapp las especificaciones de los invitados
arm_02484_00477785187	La calle está llena de hoyos
arm_09334_01379569479	Tenés que denunciar inmediatamente el accidente para que lo cubra el seguro
arm_06136_01805724628	Quiero un jabón para relajarme.
