"","X","file","tier_num","tier_name","tier_type","tier_xmin","tier_xmax","xmin","xmax","text","annotation_num","word","rate","count","log_freq","duration","length","t","log_freq_z","duration_z","length_z","rate_z"
"1",8,"f0001_us_f0001_00001.TextGrid",1,"ORT-MAU","IntervalTier",0,4.68,0.95,1.23,"world",3,"world",8.76068376068376,431934249,19.8837839332357,0.28,5,-1.05647383776714,0.628475035286661,-0.508852489154715,-0.211167371370313,0.695512315272968
"2",257,"f0001_us_f0001_00006.TextGrid",1,"ORT-MAU","IntervalTier",0,1.88,0.34,0.59,"make",3,"make",7.97872340425532,405084642,19.8196065958275,0.25,4,-1.53334687306933,0.597401446951248,-0.689981511680166,-0.964071620500042,0.302944186913081
"3",358,"f0001_us_f0001_00008.TextGrid",1,"ORT-MAU","IntervalTier",0,2.96,0.76,1.05,"going",4,"going",9.12162162162162,155284081,18.8607667780356,0.29,5,-1.20500806187765,0.133147319545406,-0.448476148312898,-0.211167371370313,0.876714212987796
"4",376,"f0001_us_f0001_00008.TextGrid",1,"ORT-MAU","IntervalTier",0,2.96,1.37,1.65,"next",8,"next",9.12162162162162,425903347,19.8697229935148,0.28,4,-0.728135026575464,0.621666964554214,-0.508852489154716,-0.964071620500042,0.876714212987796
"5",410,"f0001_us_f0001_00009.TextGrid",1,"ORT-MAU","IntervalTier",0,3.64,0.8,1.27,"becoming",4,"becoming",9.06593406593407,22483164,16.9282773204168,0.47,8,-1.17373769890702,-0.802531602230985,0.638297986839808,2.04754537601888,0.848757348768939
"6",456,"f0001_us_f0001_00010.TextGrid",1,"ORT-MAU","IntervalTier",0,4,1.17,1.26,"what",4,"what",10.25,812395582,20.5154979494479,0.0900000000000001,4,-0.884486841428641,0.934340346598026,-1.65600296514924,-0.964071620500042,1.4431948336998
"7",582,"f0001_us_f0001_00012.TextGrid",1,"ORT-MAU","IntervalTier",0,3.4,1.46,1.78,"things",7,"things",9.41176470588235,147969893,18.8125193853589,0.32,6,-0.657776709891534,0.109786742761791,-0.267347125787447,0.541736877759416,1.02237495730613
"8",629,"f0001_us_f0001_00013.TextGrid",1,"ORT-MAU","IntervalTier",0,2.88,1.07,1.48,"turn",6,"turn",9.02777777777778,80328029,18.2016291715612,0.41,4,-0.96266274885523,-0.185996033344181,0.276039941788906,-0.964071620500042,0.829601719581943
"9",650,"f0001_us_f0001_00013.TextGrid",1,"ORT-MAU","IntervalTier",0,2.88,2.01,2.42,"them",11,"them",9.02777777777778,403000411,19.8144481397616,0.41,4,-0.227809219045296,0.594903809206945,0.276039941788907,-0.964071620500042,0.829601719581943
"10",721,"f0001_us_f0001_00015.TextGrid",1,"ORT-MAU","IntervalTier",0,2.48,0.82,1.05,"about",5,"about",8.46774193548387,1226734006,20.9276211951481,0.23,5,-1.1581025174217,1.13388349683638,-0.810734193363799,-0.211167371370313,0.54844651699861
